Age;Sex;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
All Ages;Persons;67603461;66983488;66744067;66630707;66288927;65965992;65607141;65088058;64619493;64138721;63710843;63285145;62759456;62260486;61823772;61319075;60826967;60413276;59950364;59636662;59365677;59113016;58886065;58684427;58474943
0;Persons;694401;675503;698956;718410;736831;756135;776812;771325;773792;789278;810270;799686;791801;782726;788225;757429;734035;716331;704450;679910;661786;662662;682385;704491;712544
1;Persons;690758;702771;719804;736596;755272;777784;774080;776857;792690;813213;804353;789910;781631;787962;758643;737641;716092;704755;679406;662639;664800;679455;701642;713065;731552
2;Persons;716737;719432;733178;753572;776393;773200;778370;794490;815304;807232;793396;782209;788659;759942;740782;717749;704383;680794;663651;667850;682505;698903;712124;731980;719903
3;Persons;732823;730634;750732;775597;771230;777281;795593;816833;809997;796108;785327;790453;761633;743661;718402;705686;681323;665589;670805;685822;702372;710986;731484;721971;728775
4;Persons;742836;749403;773574;770377;775628;794858;817806;812416;798836;787955;792931;764623;746833;718630;705931;683009;666792;674460;689289;706437;714737;730156;723535;729242;749716
5;Persons;761499;773122;768443;775133;794185;817718;814920;801633;791076;795348;766166;749378;719662;706675;683652;668737;676448;691326;710619;718816;734046;724436;728103;749311;755165
6;Persons;785056;768118;773899;794340;816989;815878;804040;793824;798043;767679;750418;719588;707338;684756;670158;680008;693670;712945;722477;738183;728146;727937;747575;756466;781296
7;Persons;779908;773893;793911;817312;816478;805402;796576;800681;769533;751615;723299;706879;685914;672111;683270;697650;715647;724826;742354;732731;731009;745817;755711;781369;790079
8;Persons;784975;794321;816567;817768;806239;798172;803011;771332;753056;727113;711217;686034;673953;686883;701198;719998;727362;744563;737099;734751;749690;755780;780381;791526;776092
9;Persons;805260;816921;818206;807966;799835;804828;773411;754804;731534;716032;690806;674821;690309;705020;723676;731213;747299;739928;738187;753773;758094;780454;791817;777706;770442
10;Persons;827317;820030;808745;801982;806302;774504;756459;735718;721047;695657;678776;693148;709015;727329;734175;751980;743542;741392;756407;761128;783200;791887;777843;771449;780027
11;Persons;829535;810879;803256;808814;775723;757742;740133;726129;700919;683192;695003;712234;731700;737748;755197;748118;744488;760350;762564;785652;794741;779056;771596;781734;762286
12;Persons;819954;805726;810295;777712;759021;744274;731388;706234;687824;697179;713577;735093;741720;758906;751428;748297;763666;764656;785800;796902;779375;771867;781503;763597;752187
13;Persons;814474;813042;778769;760825;748531;736483;711923;692837;699924;715425;736085;745213;763207;755466;751212;768015;766574;786769;796993;780201;771278;782194;764401;753649;755586
14;Persons;821916;781734;762895;753774;742309;717937;698622;703435;718107;737809;745516;766934;759832;754421;771191;769354;787658;797739;778304;771589;780386;765051;753535;757188;725424
15;Persons;790245;765922;758013;748736;724614;704623;707822;721706;740596;746613;767499;766677;760355;778373;774764;792444;801971;780683;772862;781980;763141;756492;755817;726527;721461
